Film,Year,IMDB LINK,Location Display Text,Image File Name,Agency Credit,Artist Credit,Director/Filmmaker Name,Director/Filmmaker IMDB Link
New Jack City,1991,http://www.imdb.com/title/tt0102526/,Grant's Tomb Harlem Manhattan,,,Directed by,Mario Van Peebles,http://imdb.com/name/nm0005522/
"Next Stop, Greenwich Village",1975,http://imdb.com/title/tt0074963/,MacDougal St. West Village Manhattan,NextStopGreenwich_ec,"Courtesy of Everett Collection, Inc.",Directed by,Paul Mazursky,http://imdb.com/name/nm0005196/
Nighthawks,1981,http://www.imdb.com/title/tt0082817/,Roosevelt Island Tramway Manhattan,Nighthawks_1981_1_pf,Courtesy of Photofest,Directed by,Bruce Malmuth,http://imdb.com/name/nm0540330/
No Way to Treat a Lady,1968,http://www.imdb.com/title/tt0063356/,New York City Bus Manhattan,NoWaytoTreataLady2_pf,Courtesy of Photofest,Directed by,Jack Smight,http://imdb.com/name/nm0806915/
No Way to Treat a Lady,1968,http://www.imdb.com/title/tt0063356/,Carmines 200 W. 44th St.  Manhattan,NoWaytoTreataLady_pf,Courtesy of Photofest,Directed by,Jack Smight,http://imdb.com/name/nm0806915/
North by Northwest,1959,http://imdb.com/title/tt0053125/,Grand Central Terminal Midtown Manhattan,,,Directed by,Alfred Hitchcock,http://imdb.com/name/nm0000033/
On the Town,1949,http://imdb.com/title/tt0041716/,Little Italy Manhattan,OntheTown_pf,Courtesy of Photofest,Directed by,"Stanley Donen,Gene Kelly","http://imdb.com/name/nm0002045/,http://imdb.com/name/nm0000037/"
On the Waterfront,1954,http://imdb.com/title/tt0047296/,"Hoboken, New Jersey View of Manhattan",OnTheWaterfront_pf,Courtesy of Photofest,Directed by,Elia Kazan,http://imdb.com/name/nm0001415/
One Fine Day,1996,http://www.imdb.com/title/tt0117247/,Carnegie Deli Seventh Ave. and W. 55th St. Manhattan,,,Directed by,Michael Hoffman,http://imdb.com/name/nm0001355/
One Fine Day,1996,http://www.imdb.com/title/tt0117247/,Near Bethesda Fountain Central Park Manhattan,,,Directed by,Michael Hoffman,http://imdb.com/name/nm0001355/
Other People's Money,1991,http://imdb.com/title/tt0102609/,World Trade Center Lower Manhattan,,,Directed by,Norman Jewison,http://imdb.com/name/nm0422484/
Pieces of April,2003,http://www.imdb.com/title/tt0311648/,Lower East Side Manhattan,PiecesofApril_ec,"Courtesy of Everett Collection, Inc.",Directed by,Peter Hedges,http://imdb.com/name/nm0373282/
Plaza Suite,1971,http://www.imdb.com/title/tt0067589/,Rockefeller Center 600 Fifth Ave. Manhattan,PlazaSuite_pf,Courtesy of Photofest,Directed by,Arthur Hiller,http://imdb.com/name/nm0002137/
Prime,2005,http://www.imdb.com/title/tt0387514/,Dean and Deluca SoHo Manhattan,,,Directed by,Ben Younger,http://imdb.com/name/nm0950226/
Ragtime,1981,http://www.imdb.com/title/tt0082970/,E. 11th St. between Ave. A and Ave. B East Village Manhattan,Ragtime2_pf,Courtesy of Photofest,Directed by,Milos Forman,http://imdb.com/name/nm0001232/
Report to the Commissioner,1975,http://www.imdb.com/title/tt0073620/,Winter Garden Theater 1634 Broadway Manhattan,ReporttotheComm4_ec,"Courtesy of Everett Collection, Inc.",Directed by,Milton Katselas,http://imdb.com/name/nm0441501/
Requiem for a Dream,2000,http://www.imdb.com/title/tt0180093/,Coney Island Boardwalk Brooklyn,Requiemforadream2_pf,Courtesy of Photofest,Directed by,Darren Aronofsky,http://imdb.com/name/nm0004716/
Rosemary's Baby,1968,http://www.imdb.com/title/tt0063522/,Fifth Ave. and E. 62nd St. Upper East Side Manhattan,RosemarysBaby_ec,"Courtesy of Everett Collection, Inc.",Directed by,Roman Polanski,http://imdb.com/name/nm0000591/
Rosemary's Baby,1968,http://www.imdb.com/title/tt0063522/,"The Dakota 72nd St. and Central Park West Manhattan
",RosemarysBaby3_pf,Courtesy of Photofest,Directed by,Roman Polanski,http://imdb.com/name/nm0000591/
Rosemary's Baby,1968,http://www.imdb.com/title/tt0063522/,"The Dakota 72nd St. and Central Park West Manhattan
",RosemarysBaby2_pf,Courtesy of Photofest,Directed by,Roman Polanski,http://imdb.com/name/nm0000591/
Saturday Night Fever,1977,http://www.imdb.com/title/tt0076666/,4th Ave. and 86th St. Bay Ridge Brooklyn,SaturdayNightFever2_pf,Courtesy of Photofest,Directed by,John Badham,http://imdb.com/name/nm0000824/
Saturday Night Fever,1977,http://www.imdb.com/title/tt0076666/,Subway Car Brooklyn,SaturdayNightFever_pf,Courtesy of Photofest,Directed by,John Badham,http://imdb.com/name/nm0000824/
Searching for Bobby Fischer,1993,http://www.imdb.com/title/tt0108065/,Washington Square Park West Village Manhattan,SearchingforBobby_pf,Courtesy of Photofest,Directed by,Steven Zaillian,http://imdb.com/name/nm0001873/
Serpico,1973,http://www.imdb.com/title/tt0070666/,"Williamsburg Tenaments Brooklyn
",Serpico_pf,Courtesy of Photofest,Directed by,Sidney Lumet,http://imdb.com/name/nm0001486/
Sesame Street,1969-today,http://www.imdb.com/title/tt0063951/,Kaufman Astoria Studios Astoria Queens,SesameStreet_pf,Courtesy of Photofest,Created by,"Joan Ganz Cooney,(more)","http://imdb.com/name/nm0177760/,http://www.imdb.com/title/tt0063951/fullcredits#writers"
Sex and the City,1998-2004,http://www.imdb.com/title/tt0159206/,Magnolia Bakery 401 Bleecker St. Manhattan,SexandtheCity3_ec,"Courtesy of Everett Collection, Inc.",Created by,"Darren Star,(more)","http://imdb.com/name/nm0823015/,http://www.imdb.com/title/tt0159206/fullcredits#writers"
Shadows,1959,http://imdb.com/title/tt0053270/,MoMA W. 53rd St. Manhattan,Shadows_ec,"Courtesy of Everett Collection, Inc.",Directed by,John Cassavetes,http://imdb.com/name/nm0001023/
Shaft,1971,http://www.imdb.com/title/tt0067741/,Seventh Ave. and W. 42nd St. Times Square Manhattan,,,Directed by,Gordon Parks,http://imdb.com/name/nm0662953/
Shaft,2000,http://www.imdb.com/title/tt0162650/,New York County Courthouse 60 Centre St. Lower Manhattan,Shaft2000_pf,Courtesy of Photofest,Directed by,John Singleton,http://imdb.com/name/nm0005436/
She's the One,1996,http://www.imdb.com/title/tt0117628/,McHales Pub W. 46th and Eighth Ave. Manhattan,Shestheone_pf,Courtesy of Photofest,Directed by,Edward Burns,http://imdb.com/name/nm0122653/
Single White Female,1992,http://www.imdb.com/title/tt0105414/,Ansonia Hotel 2109 Broadway Manhattan,SingleWhiteFemale_pf,Courtesy of Photofest,Directed by,Barbet Schroeder,http://imdb.com/name/nm0775447/
Six Degrees of Separation,1993,http://www.imdb.com/title/tt0108149/,Central Park Manhattan,SixDegreesofSep_pf,Courtesy of Photofest,Directed by,Fred Schepisi,http://imdb.com/name/nm0770961/
Six Degrees of Separation,1993,http://www.imdb.com/title/tt0108149/,Metropolitan Museum of Art Fifth Ave. at 82nd St.,SixDegreesofSep_pf,Courtesy of Photofest,Directed by,Fred Schepisi,http://imdb.com/name/nm0770961/
Sleepers,1996,http://www.imdb.com/title/tt0117665/,"W. 47th St., near Pier 87 Manhattan",Sleepers3_pf,Courtesy of Photofest,Directed by,Barry Levinson,http://imdb.com/name/nm0001469/
Sleepers,1996,http://www.imdb.com/title/tt0117665/,"W. 47th St., near Pier 87 Manhattan",Sleepers_pf,Courtesy of Photofest,Directed by,Barry Levinson,http://imdb.com/name/nm0001469/
Smithereens,1982,http://www.imdb.com/title/tt0084698/,Lower East Side Manhattan,Smithereens_ec,"Courtesy of Everett Collection, Inc.",Directed by,Susan Seidelman,http://imdb.com/name/nm0782384/
Smoke,1995,http://www.imdb.com/title/tt0114478/,Prospect Park and 16th St. Windsor Terrace Brooklyn,Smoke_ec,"Courtesy of Everett Collection, Inc.",Directed by,Wayne Wang,http://imdb.com/name/nm0911061/
Sophie's Choice,1982,http://www.imdb.com/title/tt0084707/,101 Rugby Rd. Brooklyn,SophiesChoice_pf,Courtesy of Photofest,Directed by,Alan J. Pakula,http://imdb.com/name/nm0001587/
Spider-Man,2002,http://www.imdb.com/title/tt0145487/,Midtown Manhattan,Spiderman2_pf,Courtesy of Photofest,Directed by,Sam Raimi,http://www.imdb.com/name/nm0000600/
Spider-Man,2002,http://www.imdb.com/title/tt0145487/,Midtown Manhattan,Spiderman3_pf,Courtesy of Photofest,Directed by,Sam Raimi,http://www.imdb.com/name/nm0000600/
Spider-Man,2002,http://www.imdb.com/title/tt0145487/,Sunnyside Queens,Spiderman4_pf,Courtesy of Photofest,Directed by,Sam Raimi,http://www.imdb.com/name/nm0000600/
Splash,1984,http://www.imdb.com/title/tt0088161/,Pier 17 Manhattan,Splash_pf,Courtesy of Photofest,Directed by,Ron Howard,http://imdb.com/name/nm0000165/
State of Grace,1990,http://imdb.com/title/tt0100685/,Hell's Kitchen Manhattan,StateofGrace_ec,"Courtesy of Everett Collection, Inc.",Directed by,Phil Joanou,http://imdb.com/name/nm0423333/
Sugar Hill,1994,http://www.imdb.com/title/tt0107079/,Edgecomb Ave. Harlem Manhattan,,,Directed by,Leon Ichaso,http://imdb.com/name/nm0406687/
Summer of Sam,1999,http://www.imdb.com/title/tt0162677/,"CBGB's  315 Bowery (at Bleecker) East Village, Manhattan",SummerofSam_pf,Courtesy of Photofest,Directed by,Spike Lee,http://www.imdb.com/name/nm0000490/
Sweet Home Alabama,2002,http://www.imdb.com/title/tt0256415/,Tiffany & Co. 727 Fifth Ave. Manhattan,SweetHomeAlabama_ec,"Courtesy of Everett Collection, Inc.",Directed by,Andy Tennant,http://imdb.com/name/nm0855035/
Sweet November,1968,http://www.imdb.com/title/tt0063661/,Remsen St. and Montague Terrace Brooklyn Heights Brooklyn,,,Directed by,Robert Ellis Miller,http://imdb.com/name/nm0589228/
Sweet Smell of Success,1957,http://imdb.com/title/tt0051036/,Manhattan ,SweetSmellofSuccess_pf,Courtesy of Photofest,Directed by,Alexandre Mackenrick,http://imdb.com/name/nm0533241/
Taxi Driver,1976,http://www.imdb.com/title/tt0075314/,E. 12th St. and Third Ave. East Village Manhattan,TaxiDriver_pf,Courtesy of Photofest,Directed by,Martin Scorsese,http://imdb.com/name/nm0000217/
Taxi Driver,1976,http://www.imdb.com/title/tt0075314/,Bellmore Cafeteria Park Ave. South and E. 28th St. Manhattan,TaxiDriver2_pf,Courtesy of Photofest,Directed by,Martin Scorsese,http://imdb.com/name/nm0000217/
Taxi Driver,1976,http://www.imdb.com/title/tt0075314/,Columbus Ave. and E. 86th St. Upper West Side Manhattan,TaxiDriver_pf,Courtesy of Photofest,Directed by,Martin Scorsese,http://imdb.com/name/nm0000217/
The Anderson Tapes,1971,http://www.imdb.com/title/tt0066767/,E. 91st St. and Fifth Ave. Upper East Side Manhattan,TheAndersonTapes_pf,Courtesy of Photofest,Directed by,Sidney Lumet,http://imdb.com/name/nm0001486/
The April Fools,1969,http://www.imdb.com/title/tt0064036/,Marine Midlane Bank 140 Broadway Lower Manhattan,TheAprilFools_ec,"Courtesy of Everett Collection, Inc.",Directed by,Stuart Rosenberg,http://imdb.com/name/nm0742341/
The April Fools,1969,http://www.imdb.com/title/tt0064036/,Central Park Manhattan,TheAprilFools_pf,Courtesy of Photofest,Directed by,Stuart Rosenberg,http://imdb.com/name/nm0742341/
The Basketball Diaries ,1995,http://imdb.com/title/tt0112461/,Forest Hills,TheBasketballDiaries_pf,Courtesy of Photofest,Directed by,Scott Kalvert,http://imdb.com/name/nm0436284/
The Bonfire of the Vanities,1990,http://www.imdb.com/title/tt0099165/,E. 74th St. and Park Ave. Upper East Side Manhattan,,,Directed by,Brian De Palma,http://imdb.com/name/nm0000361/
The Brother from Another Planet,1984,http://www.imdb.com/title/tt0087004/,Ellis Island New York Harbor,TheBrother_pf,Courtesy of Photofest,Directed by,John Sayles,http://imdb.com/name/nm0000626/
The Brothers McMullen,1995,http://www.imdb.com/title/tt0112585/,W. 46th St. and Eighth Ave. Midtown Manhattan,TheBrothersMcmullen_pf,Courtesy of Photofest,Directed by,Edward Burns,http://imdb.com/name/nm0122653/
The Cotton Club,1984,http://imdb.com/title/tt0087089/,E. 6th St. between First Ave. & Ave. A East Village Manhattan,,,Directed by,Francis Ford Coppola,http://imdb.com/name/nm0000338/
The Cowboy Way,1994,http://www.imdb.com/title/tt0109493/,Manhattan Bridge,TheCowboyWay_pf,Courtesy of Photofest,Directed by,Gregg Champion,http://imdb.com/name/nm0150707/
The Devil's Advocate,1997,http://www.imdb.com/title/tt0118971/,Chinatown Manhattan,TheDevilsAdvocate_pf,Courtesy of Photofest,Directed by,Taylor Hackford,http://www.imdb.com/name/nm0000431/
The Fisher King,1991,http://www.imdb.com/title/tt0101889/,Grand Central Station 87 E. 42nd St. Manhattan,TheFisherKing_pf,Courtesy of Photofest,Directed by,Terry Gilliam,http://imdb.com/name/nm0000416/
The French Connection,1971,http://www.imdb.com/title/tt0067116/,Bay 50th St. Station Brooklyn,TheFrenchConnection_pf,Courtesy of Photofest,Directed by,William Friedkin,http://imdb.com/name/nm0001243/
The Godfather Part II,1974,http://www.imdb.com/title/tt0071562/,E. 6th St. and Ave. A East Village Manhattan,TheGodfatherpartII_ec,"Courtesy of Everett Collection, Inc.",Directed by,Francis Ford Coppola,http://www.imdb.com/name/nm0000338/
The Honeymooners,1955-1956,http://www.imdb.com/title/tt0042114/,358 Chauncy St. Bensonhurst Brooklyn,TheHoneymooners_ec,"Courtesy of Everett Collection, Inc.",Directed by,Frank Satenstein,http://imdb.com/name/nm0766129/
The Hours,2002,http://imdb.com/title/tt0274558/,W. 14th St. and Hudson St. West Village Manhattan,TheHours_ec,"Courtesy of Everett Collection, Inc.",Directed by,Stephen Daldry,http://imdb.com/name/nm0197636/
The Interpreter,2005,http://www.imdb.com/title/tt0373926/,United Nations First Ave. and E. 45th St. Manhattan,TheInterpreter3_ec,"Courtesy of Everett Collection, Inc.",Directed by,Sydney Pollack,http://imdb.com/name/nm0001628/
The Landlord,1970,http://www.imdb.com/title/tt0065963/,51 Prospect Pl. Brooklyn,TheLandlord2_pf,Courtesy of Photofest,Directed by,Hal Ashby,http://imdb.com/name/nm0000797/
The Landlord,1970,http://www.imdb.com/title/tt0065963/,51 Prospect Pl. Brooklyn,TheLandlord_pf,Courtesy of Photofest,Directed by,Hal Ashby,http://imdb.com/name/nm0000797/
The Late Show with David Letterman,1993-?,http://www.imdb.com/title/tt0106053/,Ed Sullivan Theatre 1697 Broadway Manhattan,,,Directed by,"Jerry Foley,Randi Grossack,(more)","http://imdb.com/name/nm0284159/,http://www.imdb.com/name/nm0343522/,http://www.imdb.com/title/tt0106053/fullcredits#directors"
The Lost Weekend,1945,http://imdb.com/title/tt0037884/,Third Ave. from E. 55th to 110th St. Upper East Side to E. Harlem Manhattan,,,Directed by,Billy Wilder,http://imdb.com/name/nm0000697/
The Naked City,1948,http://imdb.com/title/tt0040636/,Williamsburg Bridge Brooklyn,TheNaked_City_01_pf,Courtesy of Photofest,Directed by,Jules Dassin,http://imdb.com/name/nm0202088/
The Night They Raided Minsky's ,1968,http://www.imdb.com/title/tt0063348/,"E. 26th St. near Second Ave. Manhattan
",TheNightTheyRaided_pf,Courtesy of Photofest,Directed by,William Friedkin,http://imdb.com/name/nm0001243/
The Out-of-Towners,1970,http://www.imdb.com/title/tt0066193/,Central Park Manhattan,TheOutofTowners_pf,Courtesy of Photofest,Directed by,Arthur Hiller,http://imdb.com/name/nm0002137/
The Panic in Needle Park,1971,http://www.imdb.com/title/tt0067549/,W. 72nd St. and Broadway Upper West Side Manhattan,ThePanicinNeedlePark_pf,Courtesy of Photofest,Directed by,Jerry Schatzberg,http://imdb.com/name/nm0770234/
The Pawnbroker,1965,http://imdb.com/title/tt0059575/,Park Ave. and E. 116th St. Harlem Manhattan,,,Directed by,Sidney Lumet,http://imdb.com/name/nm0001486/
The Pickle ,1993,http://www.imdb.com/title/tt0107824/,Brighton Beach Boardwalk Brooklyn,ThePickle_pf,Courtesy of Photofest,Directed by,Paul Mazursky,http://imdb.com/name/nm0005196/
The Pick-Up Artist,1984,http://www.imdb.com/title/tt0093737/,Columbus Ave. near W. 75th St. Upper West Side Manhattan,,,Directed by,James Toback,http://imdb.com/name/nm0864812/
The Prisoner of Second Avenue,1975,http://www.imdb.com/title/tt0072034/,Second Ave. and E. 87th St. Upper East Side Manhattan,ThePrisonerof2ndAve_pf,Courtesy of Photofest,Directed by,Melvin Frank,http://imdb.com/name/nm0291035/
The Producers,1968,http://www.imdb.com/title/tt0063462/,East 80's Upper East Side Manhattan,TheProducers1_pf,Courtesy of Photofest,Directed by,Mel Brooks,http://imdb.com/name/nm0000316/
The Producers,1968,http://www.imdb.com/title/tt0063462/,Lincoln Center Plaza Upper West Side Manhattan,TheProducers2_pf,Courtesy of Photofest,Directed by,Mel Brooks,http://imdb.com/name/nm0000316/
The Producers,2005,http://www.imdb.com/title/tt0395251/,Lincoln Center Plaza Upper West Side Manhattan,,,Directed by,Susan Stroman,http://imdb.com/name/nm0834893/
The Professional,1994,http://imdb.com/title/tt0110413/,Manhattan,TheProfessional_ec,"Courtesy of Everett Collection, Inc.",Directed by,Luc Besson,http://imdb.com/name/nm0000108/
The Royal Tenenbaums,2001,http://www.imdb.com/title/tt0265666/,Convent Ave. and 144th St. Hamilton Heights Manhattan,TheRoyalTenenbaums_pf,Courtesy of Photofest,Directed by,Wes Anderson,http://imdb.com/name/nm0027572/
The Seven Year Itch,1955,http://imdb.com/title/tt0048605/,Lexington Ave. between 51st St. and 52nd St. Midtown Manhattan,TheSevenYearItch_pf,Courtesy of Photofest,Directed by,Billy Wilder,http://imdb.com/name/nm0000697/
The Siege,1998,http://www.imdb.com/title/tt0133952/,Greenpoint Brooklyn,TheSiege_pf,Courtesy of Photofest,Directed by,Edward Zwick,http://imdb.com/name/nm0001880/
The Sopranos,1999-2007,http://www.imdb.com/title/tt0141842/,"Empire Stores Park Brooklyn Bridge
",,,Created by,"David Chase,(more)","http://imdb.com/name/nm0153740/,http://imdb.com/title/tt0141842/fullcredits#writers"
The Squid and the Whale,2005,http://www.imdb.com/title/tt0367089/,Museum of Natural History W. 79th St. and Central Park West Manhattan,,,Directed by,Noah Baumbach,http://imdb.com/name/nm0000876/
The Taking of Pelham One Two Three,1974,http://www.imdb.com/title/tt0072251/,Subway near Court St. Brooklyn,,,Directed by,Joseph Sargent,http://imdb.com/name/nm0765121/
The Warriors,1979,http://www.imdb.com/title/tt0080120/,Astroland Coney Island  Brooklyn,TheWarriors_pf,Courtesy of Photofest,Directed by,Walter Hill,http://imdb.com/name/nm0001353/
The Warriors,1979,http://www.imdb.com/title/tt0080120/,Subway Car Coney Island Brooklyn,TheWarriors2_pf,Courtesy of Photofest,Directed by,Walter Hill,http://imdb.com/name/nm0001353/
The Wiz,1978,http://www.imdb.com/title/tt0078504/,World Trade Center Lower Manhattan,,,Directed by,Sidney Lumet,http://imdb.com/name/nm0001486/
The Wrong Man,1956,http://imdb.com/title/tt0051207/,Subway at 53rd St. and Fifth Ave. Midtown Manhattan,TheWrongMan_ec,"Courtesy of Everett Collection, Inc.",Directed by,Alfred Hitchcock,http://imdb.com/name/nm0000033/
Three Days of the Condor,1975,http://www.imdb.com/title/tt0073802/,Riverside Drive Upper West Side Manhattan,ThreeDaysoftheCondor_ec,"Courtesy of Everett Collection, Inc.",Directed by,Sydney Pollack,http://imdb.com/name/nm0001628/
Times Square,1980,http://www.imdb.com/title/tt0081635/,W. 42nd St. between Seventh Ave. and Eighth Ave. Times Square Manhattan,TimesSquare2_pf,Courtesy of Photofest,Directed by,Allan Moyle,http://imdb.com/name/nm0610496/
Tootsie,1982,http://www.imdb.com/title/tt0084805/,W. 42nd between Ninth Ave. and Tenth Ave. Midtown Manhattan,Tootsie_pf,Courtesy of Photofest,Directed by,Sydney Pollack,http://imdb.com/name/nm0001628/
Two for the Seesaw,1962,http://www.imdb.com/title/tt0056626/,Brooklyn Bridge,,,Directed by,"Robert Wise
",http://imdb.com/name/nm0936404/
Up the Down Staircase,1967,http://www.imdb.com/title/tt0062425/,East Harlem (El Barrio) Manhattan,UpTheDownStaircase_pf,Courtesy of Photofest,Directed by,Robert Mulligan,http://imdb.com/name/nm0612322/
Up the Sandbox,1972,http://www.imdb.com/title/tt0069449/,Carousel Central Park Manhattan,UptheSandbox_pf,Courtesy of Photofest,Directed by,Irvin Kershner,http://imdb.com/name/nm0449984/
Up the Sandbox,1972,http://www.imdb.com/title/tt0069449/,Riverside Park near W. 109th St. Morningside Heights Manhattan,UptheSandbox2_ec,"Courtesy of Everett Collection, Inc.",Directed by,Irvin Kershner,http://imdb.com/name/nm0449984/
Uptown Girls,2003,http://www.imdb.com/title/tt0263757/,Astroland Coney Island  Brooklyn,,,Directed by,Boaz Yakin,http://imdb.com/name/nm0945026/
Vanilla Sky,2001,http://www.imdb.com/title/tt0259711/,W. 45th St. and Seventh Ave. Times Square Manhattan,VanillaSky_pf,Courtesy of Photofest,Directed by,Cameron Crowe,http://imdb.com/name/nm0001081/
Wall Street,1987,http://www.imdb.com/title/tt0094291/,New York Stock Exchange Exchange Place Lower Manhattan,WallStreet1_pf,Courtesy of Photofest,Directed by,Oliver Stone,http://imdb.com/name/nm0000231/
Wall Street,1987,http://www.imdb.com/title/tt0094291/,Broadway and Vesey St.,,,Directed by,Oliver Stone,http://imdb.com/name/nm0000231/
West Side Story,1961,http://imdb.com/title/tt0055614/,W. 68th St. Upper West Side Manhattan,WestSideStory_pf,Courtesy of Photofest,Directed by,"Robert Wise,Jerome Robbins","http://imdb.com/name/nm0936404/,http://imdb.com/name/nm0730385/"
West Side Story,1961,http://imdb.com/title/tt0055614/,W. 68th St. Upper West Side Manhattan,WestSideStory2_pf,Courtesy of Photofest,Directed by,"Robert Wise,Jerome Robbins","http://imdb.com/name/nm0936404/,http://imdb.com/name/nm0730385/"
When Harry Met Sally…,1989,http://www.imdb.com/title/tt0098635/,Katz's Deli 205 E. Houston St. Manhattan,WhenHarryMetSally9_pf,"Courtesy of Everett Collection, Inc.",Directed by,Rob Reiner,http://www.imdb.com/name/nm0001661/
When Harry Met Sally…,1989,http://www.imdb.com/title/tt0098635/,Washington Square Park West Village Manhattan,WhenHarryMetSally9_pf,"Courtesy of Everett Collection, Inc.",Directed by,Rob Reiner,http://www.imdb.com/name/nm0001661/
Wolfen,1981,http://www.imdb.com/title/tt0083336/,World Trade Center Lower Manhattan,,,Directed by,Michael Wadleigh,http://imdb.com/name/nm0905579/
Wolfen,1981,http://www.imdb.com/title/tt0083336/,Manhattan Bridge,,,Directed by,Michael Wadleigh,http://imdb.com/name/nm0905579/
Wolfen,1981,http://www.imdb.com/title/tt0083336/,Charlotte St. The Bronx,,,Directed by,Michael Wadleigh,http://imdb.com/name/nm0905579/
Working Girl,1988,http://www.imdb.com/title/tt0096463/,Staten Island Ferry New York Harbor,WorkingGirl_pf,Courtesy of Photofest,Directed by,Mike Nichols,http://imdb.com/name/nm0001566/
You're a Big Boy Now,1966,http://www.imdb.com/title/tt0061209/,Steeplechase Park Coney Island Brooklyn,YoureaBigBoyNow_pf,Courtesy of Photofest,Directed by,Francis Ford Coppola,http://imdb.com/name/nm0000338/
You're a Big Boy Now,1966,http://www.imdb.com/title/tt0061209/,"New York Public Library Fifth Ave. and 41st St. Manhattan
",YoureaBigBoyNow2_pf,Courtesy of Photofest,Directed by,Francis Ford Coppola,http://imdb.com/name/nm0000338/
You've Got Mail,1998,http://www.imdb.com/title/tt0128853/,Verdi Square W. 73rd St.  & Broadway Manhattan,YouveGotMail1_pf,Courtesy of Photofest,Directed by,Nora Ephron,http://imdb.com/name/nm0001188/
You've Got AWESOME Mail,1998,http://www.imdb.com/title/tt0128853/,91st Street Community Garden Riverside Park Manhattan,YouveGotMail2_pf,Courtesy of Photofest,Directed by,Nora Ephron,http://imdb.com/name/nm0001188/